SMILES,Tm(deg C) EXP,Tm(K) EXP,
C1=NNN=C1[N+](=O)[O-],160.5,433.65,nitro-1-2-3-triazole
C1=C(C=C(C(=C1[N+](=O)[O-])N2C3=CC(=C(C=C3N=N2)[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-],260,533.15,
C(C([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])OC(=O)N,91,364.15,nitroaliphatic_w_func_groups
C(CC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])C(=O)N,92,365.15,
C(C([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])OC(=O)OCC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-],115.5,388.65,
C(C([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])OCOCC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-],65.4,338.55,
C(C([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])N(CC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])C(=O)N,185.5,458.65,
CC(=O)CCC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-],43,316.15,
CCOC(=O)OCC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-],45.5,318.65,
C(C([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])OC(=O)C(=O)OCC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-],116,389.15,
C(CC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])C(=O)OCC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-],86,359.15,
O=C(OCC([N+]([O-])=O)([N+]([O-])=O)C)OCC([N+]([O-])=O)([N+]([O-])=O)[N+]([O-])=O,107,380.15,
C(C([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])OC(OCC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])OCC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-],127.8,400.95,
C(CC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])C(=O)CCC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-],121.5,394.65,
O=C(OCC([N+]([O-])=O)([N+]([O-])=O)[N+]([O-])=O)NCNC(OCC([N+]([O-])=O)([N+]([O-])=O)[N+]([O-])=O)=O,125.5,398.65,
CC([N+]([O-])=O)([N+]([O-])=O)COC(CCC([N+]([O-])=O)([N+]([O-])=O)[N+]([O-])=O)=O,94.5,367.65,
CC(COC(=O)OCC(C)([N+](=O)[O-])[N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-],117,390.15,
C(C([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])OC(C(=O)OCC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])OCC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-],100.8,373.95,
O=C(CCC([N+]([O-])=O)([N+]([O-])=O)[N+]([O-])=O)OC(CCC([N+]([O-])=O)([N+]([O-])=O)[N+]([O-])=O)=O,109.5,382.65,
C(CC(=O)OCC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])C(=O)OCC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-],126.5,399.65,
C(CNC(=O)C(=O)NCCC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])C([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-],170.5,443.65,
CCC(COC(=O)CCC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-],79.5,352.65,
CC(CCC(=O)OCC(C)([N+](=O)[O-])[N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-],89.5,362.65,
C(CC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])C(=O)NCNC(=O)CCC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-],183.3,456.45,
O=C(OCC([N+]([O-])=O)([N+]([O-])=O)[N+]([O-])=O)CCC([N+]([O-])=O)([N+]([O-])=O)CCC(OCC([N+]([O-])=O)([N+]([O-])=O)[N+]([O-])=O)=O,170.5,443.65,
O=C(OCC([N+]([O-])=O)([N+]([O-])=O)[N+]([O-])=O)CCC([N+]([O-])=O)([N+]([O-])=O)CC([N+]([O-])=O)([N+]([O-])=O)CC([N+]([O-])=O)([N+]([O-])=O)CCC(OCC([N+]([O-])=O)([N+]([O-])=O)[N+]([O-])=O)=O,117.5,390.65,
C(CN[N+](=O)[O-])N[N+](=O)[O-],175.3,448.45,nitramine
C1N(CN(CN1[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-],205.5,478.65,
CN(CCN[N+](=O)[O-])[N+](=O)[O-],120.9,394.05,
O=C(OCC([N+]([O-])=O)([N+]([O-])=O)[N+]([O-])=O)N([N+]([O-])=O)C,39.5,312.65,
CN(C(=O)C(=O)N(C)[N+](=O)[O-])[N+](=O)[O-],23.5,296.65,
C1N(CN(CN(CN1[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-],278,551.15,
O=[N+]([O-])NCCN([N+]([O-])=O)CCN[N+]([O-])=O,152.5,425.65,
C1C(CN(CC1([N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-],122.5,395.65,
O=[N+]([O-])N(CC([N+]([O-])=O)([N+]([O-])=O)[N+]([O-])=O)CN([N+]([O-])=O)CC([N+]([O-])=O)([N+]([O-])=O)[N+]([O-])=O,84.5,357.65,
CCN([N+]([O-])=O)C(OCC([N+]([O-])=O)([N+]([O-])=O)[N+]([O-])=O)=O,50.5,323.65,
O=[N+]([O-])NCCC([N+]([O-])=O)([N+]([O-])=O)CCN[N+]([O-])=O,67.5,340.65,
O=C(OCC([N+]([O-])=O)([N+]([O-])=O)[N+]([O-])=O)N([N+]([O-])=O)CCC([N+]([O-])=O)([N+]([O-])=O)[N+]([O-])=O,96.5,369.65,
O=C(CN([N+]([O-])=O)CC([N+]([O-])=O)([N+]([O-])=O)[N+]([O-])=O)OCC([N+]([O-])=O)([N+]([O-])=O)[N+]([O-])=O,133,406.15,
CN([N+]([O-])=O)CCC(OCC([N+]([O-])=O)([N+]([O-])=O)[N+]([O-])=O)=O,53.8,326.95,
CC([N+]([O-])=O)([N+]([O-])=O)CN([N+]([O-])=O)CCC([N+]([O-])=O)([N+]([O-])=O)[N+]([O-])=O,109.3,382.45,
CN([N+]([O-])=O)CCN([N+]([O-])=O)C(OCC([N+]([O-])=O)([N+]([O-])=O)[N+]([O-])=O)=O,103.5,376.65,
CC([N+]([O-])=O)([N+]([O-])=O)CCN([N+]([O-])=O)CC([N+]([O-])=O)([N+]([O-])=O)[N+]([O-])=O,106,379.15,
CC(CN(CC(C)([N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-],188,461.15,
COCN([N+]([O-])=O)CN([N+]([O-])=O)CN([N+]([O-])=O)COC,104.5,377.65,
O=[N+]([O-])N(CCN([N+]([O-])=O)CCN[N+]([O-])=O)CCN[N+]([O-])=O,174.1,447.25,
O=C(OCC([N+]([O-])=O)([N+]([O-])=O)[N+]([O-])=O)N([N+]([O-])=O)CN([N+]([O-])=O)C(OCC([N+]([O-])=O)([N+]([O-])=O)[N+]([O-])=O)=O,112.5,385.65,
